nisn,password,status_aktif,nama,angkatan,jurusan,kelas,panggilan,jk,tmp_lahir,tgl_lahir,agama,wn,alamat,hp,tb,bb,anak_ke,jml_sdr_kandung,yatim,tinggal_dgn,ayah_nama,ayah_kerja,ayah_hp,ibu_nama,ibu_kerja,ibu_hp
0032737252,password123,aktif,Siswa Dummy Ke-1,2023,Bahasa,10 Bahasa 1,Siswa 1,perempuan,Bandung,2007-11-14,Katolik,WNI,"Jl. Contoh Dummy No. 1, Kota Bandung",082994277751,149,74,1,1,Yatim,Orang Tua,Ayah dari Siswa 1,Buruh,086157759050,Ibu dari Siswa 1,Pegawai Swasta,085704659861
0010186408,password123,drop_out,Siswa Dummy Ke-2,2023,IPS,10 IPS 1,Siswa 2,Laki-laki,Malang,2007-08-02,Kristen,WNI,"Jl. Contoh Dummy No. 2, Kota Malang",082491036040,146,74,1,5,Lengkap,Orang Tua,Ayah dari Siswa 2,Pegawai Swasta,081546440976,Ibu dari Siswa 2,PNS,085015668062
0079713014,password123,aktif,Siswa Dummy Ke-3,2023,Bahasa,10 Bahasa 1,Siswa 3,Laki-laki,Surabaya,2007-08-13,Hindu,WNI,"Jl. Contoh Dummy No. 3, Kota Surabaya",083496655531,147,57,3,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 3,PNS,085687293600,Ibu dari Siswa 3,Ibu Rumah Tangga,082461170768
0067024438,password123,aktif,Siswa Dummy Ke-4,2023,Multimedia,10 Multimedia 1,Siswa 4,Laki-laki,Malang,2007-02-03,Konghucu,WNI,"Jl. Contoh Dummy No. 4, Kota Malang",087567051927,172,45,2,3,Lengkap,Orang Tua,Ayah dari Siswa 4,Buruh,087577379639,Ibu dari Siswa 4,Pegawai Swasta,085636176854
0045036515,password123,lulus,Siswa Dummy Ke-5,2023,RPL,10 RPL 1,Siswa 5,perempuan,Semarang,2008-08-04,Hindu,WNI,"Jl. Contoh Dummy No. 5, Kota Semarang",084686289720,163,56,3,4,Yatim,Orang Tua,Ayah dari Siswa 5,Buruh,086975847749,Ibu dari Siswa 5,Pegawai Swasta,089507441513
0081841183,password123,lulus,Siswa Dummy Ke-6,2023,RPL,10 RPL 1,Siswa 6,perempuan,Yogyakarta,2008-06-03,Islam,WNI,"Jl. Contoh Dummy No. 6, Kota Yogyakarta",085271149488,147,58,2,3,Yatim Piatu,Orang Tua,Ayah dari Siswa 6,Petani,089162964930,Ibu dari Siswa 6,Wiraswasta,083630430304
0060549347,password123,drop_out,Siswa Dummy Ke-7,2023,RPL,10 RPL 1,Siswa 7,perempuan,Surabaya,2007-09-23,Islam,WNI,"Jl. Contoh Dummy No. 7, Kota Surabaya",089375305473,163,52,2,4,Yatim,Orang Tua,Ayah dari Siswa 7,Wiraswasta,084090231187,Ibu dari Siswa 7,PNS,081733967038
0033657099,password123,drop_out,Siswa Dummy Ke-8,2023,TKJ,10 TKJ 1,Siswa 8,Laki-laki,Jakarta,2008-08-19,Kristen,WNI,"Jl. Contoh Dummy No. 8, Kota Jakarta",082612445760,180,69,1,3,Piatu,Orang Tua,Ayah dari Siswa 8,Petani,087192028373,Ibu dari Siswa 8,Wiraswasta,081554604874
0040287097,password123,lulus,Siswa Dummy Ke-9,2023,IPA,10 IPA 1,Siswa 9,Laki-laki,Malang,2008-06-27,Katolik,WNI,"Jl. Contoh Dummy No. 9, Kota Malang",086674391816,162,58,1,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 9,Wiraswasta,086121959437,Ibu dari Siswa 9,Wiraswasta,085783034651
0050141017,password123,aktif,Siswa Dummy Ke-10,2023,IPS,10 IPS 1,Siswa 10,perempuan,Semarang,2007-09-04,Buddha,WNI,"Jl. Contoh Dummy No. 10, Kota Semarang",085325933021,176,82,1,4,Lengkap,Orang Tua,Ayah dari Siswa 10,Petani,084201669454,Ibu dari Siswa 10,PNS,087564500020
0029945929,password123,aktif,Siswa Dummy Ke-11,2023,IPS,10 IPS 1,Siswa 11,Laki-laki,Yogyakarta,2007-08-01,Kristen,WNI,"Jl. Contoh Dummy No. 11, Kota Yogyakarta",082458091387,154,60,1,5,Piatu,Orang Tua,Ayah dari Siswa 11,PNS,087748572056,Ibu dari Siswa 11,Ibu Rumah Tangga,088430272084
0021393086,password123,aktif,Siswa Dummy Ke-12,2023,Multimedia,10 Multimedia 1,Siswa 12,Laki-laki,Surabaya,2008-08-16,Buddha,WNI,"Jl. Contoh Dummy No. 12, Kota Surabaya",081402310073,162,41,2,2,Yatim,Orang Tua,Ayah dari Siswa 12,Wiraswasta,083301946518,Ibu dari Siswa 12,Wiraswasta,081747075470
0071606452,password123,aktif,Siswa Dummy Ke-13,2023,IPS,10 IPS 1,Siswa 13,perempuan,Bandung,2007-08-10,Kristen,WNI,"Jl. Contoh Dummy No. 13, Kota Bandung",087626603990,156,54,3,5,Yatim Piatu,Orang Tua,Ayah dari Siswa 13,Wiraswasta,086949480832,Ibu dari Siswa 13,Wiraswasta,088721186403
0020782529,password123,aktif,Siswa Dummy Ke-14,2023,IPS,10 IPS 1,Siswa 14,Laki-laki,Bandung,2008-09-08,Katolik,WNI,"Jl. Contoh Dummy No. 14, Kota Bandung",085682503921,150,55,1,5,Lengkap,Orang Tua,Ayah dari Siswa 14,PNS,089454518153,Ibu dari Siswa 14,Ibu Rumah Tangga,083569287521
0036381321,password123,drop_out,Siswa Dummy Ke-15,2023,TKJ,10 TKJ 1,Siswa 15,Laki-laki,Surabaya,2008-12-27,Kristen,WNI,"Jl. Contoh Dummy No. 15, Kota Surabaya",085129490350,179,81,1,5,Yatim,Orang Tua,Ayah dari Siswa 15,PNS,082651482172,Ibu dari Siswa 15,PNS,085608721618
0028278399,password123,lulus,Siswa Dummy Ke-16,2023,RPL,10 RPL 1,Siswa 16,perempuan,Malang,2007-12-21,Konghucu,WNI,"Jl. Contoh Dummy No. 16, Kota Malang",087476528112,164,44,3,4,Yatim Piatu,Orang Tua,Ayah dari Siswa 16,Pegawai Swasta,088576103702,Ibu dari Siswa 16,Ibu Rumah Tangga,082581457747
0040066767,password123,lulus,Siswa Dummy Ke-17,2023,Bahasa,10 Bahasa 1,Siswa 17,Laki-laki,Semarang,2007-08-14,Buddha,WNI,"Jl. Contoh Dummy No. 17, Kota Semarang",082675352558,148,43,3,3,Yatim,Orang Tua,Ayah dari Siswa 17,Pegawai Swasta,087140896391,Ibu dari Siswa 17,Wiraswasta,082680232409
0063303695,password123,lulus,Siswa Dummy Ke-18,2023,IPA,10 IPA 1,Siswa 18,perempuan,Jakarta,2007-06-22,Kristen,WNI,"Jl. Contoh Dummy No. 18, Kota Jakarta",088463044064,157,78,3,4,Yatim,Orang Tua,Ayah dari Siswa 18,Wiraswasta,082961512520,Ibu dari Siswa 18,PNS,082123359340
0098177803,password123,lulus,Siswa Dummy Ke-19,2023,IPS,10 IPS 1,Siswa 19,perempuan,Bandung,2007-03-05,Katolik,WNI,"Jl. Contoh Dummy No. 19, Kota Bandung",083606434715,168,71,2,3,Lengkap,Orang Tua,Ayah dari Siswa 19,Pegawai Swasta,088410625725,Ibu dari Siswa 19,Pegawai Swasta,086247698555
0055813940,password123,lulus,Siswa Dummy Ke-20,2023,RPL,10 RPL 1,Siswa 20,Laki-laki,Jakarta,2007-03-10,Konghucu,WNI,"Jl. Contoh Dummy No. 20, Kota Jakarta",081569526282,150,49,3,4,Piatu,Orang Tua,Ayah dari Siswa 20,Pegawai Swasta,081485893781,Ibu dari Siswa 20,PNS,089854348125
0019515527,password123,aktif,Siswa Dummy Ke-21,2023,RPL,10 RPL 1,Siswa 21,perempuan,Semarang,2008-08-17,Buddha,WNI,"Jl. Contoh Dummy No. 21, Kota Semarang",083778177842,145,60,2,2,Yatim,Orang Tua,Ayah dari Siswa 21,Pegawai Swasta,081327920565,Ibu dari Siswa 21,Ibu Rumah Tangga,083399897754
0086055964,password123,aktif,Siswa Dummy Ke-22,2023,Multimedia,10 Multimedia 1,Siswa 22,Laki-laki,Yogyakarta,2007-06-04,Kristen,WNI,"Jl. Contoh Dummy No. 22, Kota Yogyakarta",085614459243,145,77,2,5,Lengkap,Orang Tua,Ayah dari Siswa 22,Pegawai Swasta,081541751689,Ibu dari Siswa 22,Pegawai Swasta,082235503574
